,0
0,OMOP_40224705
1,OMOP_40227434
2,OMOP_42903419
3,OMOP_40230797
4,OMOP_40230721
5,OMOP_19004295
6,OMOP_19009790
7,OMOP_40241181
8,OMOP_19011004
9,OMOP_36217224
10,OMOP_19011093
11,OMOP_19011095
12,OMOP_19011097
13,OMOP_42903421
14,OMOP_1314806
15,OMOP_19011124
16,OMOP_42709326
17,OMOP_19011162
18,OMOP_1314955
19,OMOP_1315027
20,OMOP_19011163
21,OMOP_36244019
22,OMOP_36244038
23,OMOP_42898180
24,OMOP_42898185
25,OMOP_42898242
26,OMOP_42900573
27,OMOP_42900393
28,OMOP_42898964
29,OMOP_42900478
30,OMOP_42898776
31,OMOP_42898564
32,OMOP_42898193
33,OMOP_42898413
34,OMOP_42898265
35,OMOP_42900370
36,OMOP_42900379
37,OMOP_42898988
38,OMOP_42900414
39,OMOP_42898889
40,OMOP_42898985
41,OMOP_42899421
42,OMOP_42900229
43,OMOP_42899442
44,OMOP_42898886
45,OMOP_42898992
46,OMOP_42900198
47,OMOP_42898573
48,OMOP_42900385
49,OMOP_42898559
50,OMOP_42898597
51,OMOP_42900310
52,OMOP_42899022
53,OMOP_42899377
54,OMOP_42898277
55,OMOP_42898278
56,OMOP_42898279
57,OMOP_42898288
58,OMOP_42898289
59,OMOP_42898646
60,OMOP_42898652
61,OMOP_42898664
62,OMOP_42899969
63,OMOP_42899977
64,OMOP_42899767
65,OMOP_42899764
66,OMOP_42899739
67,OMOP_42899734
68,OMOP_42899736
69,OMOP_42899859
70,OMOP_42899857
71,OMOP_42899856
72,OMOP_42899798
73,OMOP_42899576
74,OMOP_42900433
75,OMOP_42899352
76,OMOP_42900245
77,OMOP_42898728
78,OMOP_42898465
79,OMOP_42900504
80,OMOP_42899134
81,OMOP_42900426
82,OMOP_42899018
83,OMOP_42898475
84,OMOP_42898753
85,OMOP_42900518
86,OMOP_42900520
87,OMOP_42899373
88,OMOP_42899581
89,OMOP_42899731
90,OMOP_42898928
91,OMOP_42898269
92,OMOP_42898378
93,OMOP_42900544
94,OMOP_42900024
95,OMOP_42900221
96,OMOP_42900107
97,OMOP_42900549
98,OMOP_42874054
99,OMOP_42899579
100,OMOP_42898267
101,OMOP_42898268
102,OMOP_42898379
103,OMOP_42873745
104,OMOP_42874050
105,OMOP_42900548
106,OMOP_42900099
107,OMOP_42898655
108,OMOP_42900527
109,OMOP_42899684
110,OMOP_42898497
111,OMOP_42899923
112,OMOP_42899690
113,OMOP_42900358
114,OMOP_42900364
115,OMOP_42900341
116,OMOP_42899253
117,OMOP_42898456
118,OMOP_42898457
119,OMOP_42898458
120,OMOP_42898460
121,OMOP_42898467
122,OMOP_42898469
123,OMOP_42898470
124,OMOP_42898471
125,OMOP_42898474
126,OMOP_42898477
127,OMOP_42898601
128,OMOP_42898443
129,OMOP_42898445
130,OMOP_42898447
131,OMOP_42898451
132,OMOP_42898665
133,OMOP_42898666
134,OMOP_42898576
135,OMOP_42898252
136,OMOP_42898558
137,OMOP_42898560
138,OMOP_42898562
139,OMOP_42898563
140,OMOP_42898569
141,OMOP_42898356
142,OMOP_42898328
143,OMOP_42900333
144,OMOP_42898647
145,OMOP_42898648
146,OMOP_42898649
147,OMOP_42898582
148,OMOP_42898583
149,OMOP_42898584
150,OMOP_42898585
151,OMOP_42898587
152,OMOP_42898588
153,OMOP_42898589
154,OMOP_42898590
155,OMOP_42898591
156,OMOP_42898592
157,OMOP_42898595
158,OMOP_42898596
159,OMOP_42899701
160,OMOP_42898651
161,OMOP_42900348
162,OMOP_42898654
163,OMOP_42898629
164,OMOP_42898724
165,OMOP_42898406
166,OMOP_42898273
167,OMOP_42900328
168,OMOP_42898603
169,OMOP_42898604
170,OMOP_42898857
171,OMOP_42898856
172,OMOP_42898446
173,OMOP_42898448
174,OMOP_42898452
175,OMOP_42898453
176,OMOP_42898454
177,OMOP_42899130
178,OMOP_42898283
179,OMOP_42899033
180,OMOP_42898260
181,OMOP_42900429
182,OMOP_42898626
